measurement_uid,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code,tcp_ip,tcp_status
20250108183313.998941_JM_webconnectivity_1b0c2fce5fa47cae,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108183312.509260_JM_webconnectivity_a65c01a134031d5c,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108183300.521232_JM_webconnectivity_be89021da717322f,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108183020.362846_JM_webconnectivity_cb0c340593b7acf1,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,200,None,None
20250108182642.643747_JM_webconnectivity_3f14cbcf929f1f86,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108182459.293679_JM_webconnectivity_28f1824e83b588f1,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108182458.041725_JM_webconnectivity_11ab200695010ca8,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108182456.803721_JM_webconnectivity_5c3b98cdbed33af9,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108182036.689056_JM_webconnectivity_254fef2c2b8ef5be,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108181723.780060_JM_webconnectivity_267aced95fe69402,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250109005030.786077_JM_webconnectivity_37b9e6d5eb2854a1,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250109004931.065180_JM_webconnectivity_060d2c69964da479,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250109004700.410726_JM_webconnectivity_2e1186b45e1de497,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250109004343.609584_JM_webconnectivity_f2318ff163060d51,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250109004303.944561_JM_webconnectivity_e665b004a6b86197,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250109004200.578601_JM_webconnectivity_1f7f6969e90d9e9d,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250109004158.329145_JM_webconnectivity_9fe027aa32b46d47,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250109004152.085563_JM_webconnectivity_a086bb52cb2da6c0,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250109003636.767561_JM_webconnectivity_37de733a0a868713,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,200,None,None
20250109003635.397263_JM_webconnectivity_e9d6bb323ac7d0ce,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,200,None,None
20250109003439.389802_JM_webconnectivity_63bac82979437bf0,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250109000418.534914_JM_webconnectivity_698d3da31c0882df,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250109000414.819399_JM_webconnectivity_4b03a1c281d65d30,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250109000412.724240_JM_webconnectivity_20ef24b61c017a6e,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250109000037.351620_JM_webconnectivity_eabee61e84275d73,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250109000017.251071_JM_webconnectivity_ebe397f31c707f8c,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
